epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
86,5633.38,0.58104,0.44282,0.06269,0.78824,0.73302,0.77168,0.29057,0.72343,0.50786,0.08284,1.5085e-05,1.5085e-05,1.5085e-05
87,5698.91,0.57845,0.44497,0.06128,0.8129,0.72,0.77614,0.29446,0.72071,0.50716,0.08257,1.4086e-05,1.4086e-05,1.4086e-05
88,5764.45,0.57077,0.43547,0.05995,0.82124,0.72,0.77825,0.29566,0.72192,0.50277,0.08268,1.3087e-05,1.3087e-05,1.3087e-05
89,5829.99,0.57271,0.43766,0.06139,0.80745,0.72256,0.76663,0.29539,0.72242,0.50434,0.08251,1.2088e-05,1.2088e-05,1.2088e-05
90,5894.94,0.56744,0.43483,0.05928,0.79109,0.73846,0.76617,0.29739,0.71363,0.51109,0.08069,1.1089e-05,1.1089e-05,1.1089e-05
91,5961.53,0.56612,0.43588,0.05876,0.79982,0.72534,0.76343,0.29458,0.71473,0.50988,0.08125,1.009e-05,1.009e-05,1.009e-05
92,6027.14,0.56839,0.43569,0.05904,0.79965,0.72456,0.75997,0.29447,0.71669,0.51139,0.08178,9.091e-06,9.091e-06,9.091e-06
93,6092.53,0.56408,0.43713,0.05842,0.81073,0.71385,0.75467,0.29065,0.71628,0.51623,0.08212,8.092e-06,8.092e-06,8.092e-06
94,6158.11,0.556,0.43363,0.0586,0.81307,0.70462,0.75284,0.29127,0.71471,0.52679,0.08206,7.093e-06,7.093e-06,7.093e-06
95,6223.7,0.5555,0.43254,0.05723,0.78668,0.73757,0.76005,0.29163,0.72963,0.50842,0.08474,6.094e-06,6.094e-06,6.094e-06
96,6289.31,0.56159,0.43453,0.05862,0.78137,0.73677,0.7578,0.29007,0.73316,0.50856,0.08618,5.095e-06,5.095e-06,5.095e-06
97,6354.93,0.56551,0.43653,0.05655,0.78983,0.72848,0.7576,0.28978,0.73281,0.51035,0.0861,4.096e-06,4.096e-06,4.096e-06
98,6420.68,0.54923,0.43566,0.05857,0.78637,0.73622,0.75746,0.28704,0.73,0.51563,0.08507,3.097e-06,3.097e-06,3.097e-06
99,6486.37,0.55497,0.43345,0.05743,0.78531,0.73846,0.75708,0.28899,0.73133,0.51436,0.08528,2.098e-06,2.098e-06,2.098e-06
100,6551.99,0.55791,0.43315,0.05646,0.78023,0.73846,0.7554,0.28695,0.73103,0.51562,0.08546,1.099e-06,1.099e-06,1.099e-06
